id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
863152767233282049,863152767233282049,1494626630000,2017-05-13,00:03:50,CEST,538145864,mattbecks_,Matt Becks,"Rosemère, Québec",Achetez notre jus d'bâti!! #lol #silly #redcore #studiolife @ Notes Productions  https://www.instagram.com/p/BUAiTCNhah3/ ,,['https://www.instagram.com/p/BUAiTCNhah3/'],[],0,0,0,"Los Angeles, California","['#lol', '#silly', '#redcore', '#studiolife']",https://twitter.com/MattBecks_/status/863152767233282049,,,0
863152732265259008,863152732265259008,1494626622000,2017-05-13,00:03:42,CEST,46403741,uglyvictor,Victor Nelli,"Montréal, Québec",Day off means brick day. 20-bike 3-run. That deserves cold lait au chocolat. @usatriathlon…  https://www.instagram.com/p/BUAiR7Ah4bz/ ,['usatriathlon'],['https://www.instagram.com/p/BUAiR7Ah4bz/'],[],0,0,1,LA,[],https://twitter.com/UglyVictor/status/863152732265259008,,,0
863152518217551874,863152518217551874,1494626571000,2017-05-13,00:02:51,CEST,842732849820291072,marlonduane05,MD Gregg,"Montréal, Québec",Come and see #theycrayzay @ Centre Moto Folie  https://www.instagram.com/p/BUAiLJqFfRVDkCTGvg5ffwLePANocYMO4nUx0I0/ …,,['https://www.instagram.com/p/BUAiLJqFfRVDkCTGvg5ffwLePANocYMO4nUx0I0/'],[],0,0,0,,['#theycrayzay'],https://twitter.com/marlonduane05/status/863152518217551874,,,0
863152193813098496,863152193813098496,1494626494000,2017-05-13,00:01:34,CEST,374257461,caropetitepuce,Carolanne Bergeron,"Sainte-Thérèse, Québec",Tragédie... 💔🍷⚔️🖤#lesloups #lafamille @ Option-Théâtre du Collège…  https://www.instagram.com/p/BUAiCR1BUIua-DPhyXf7bE_2XNd4OUanbxCdYw0/ …,,['https://www.instagram.com/p/BUAiCR1BUIua-DPhyXf7bE_2XNd4OUanbxCdYw0/'],[],0,0,0,"Montréal, Québec","['#lesloups', '#lafamille']",https://twitter.com/Caropetitepuce/status/863152193813098496,,,0
863151423885897728,863151423885897728,1494626310000,2017-05-12,23:58:30,CEST,56646927,pipenny,Jacky E. McGregor,"Montréal, Québec",Advance wedding anniversary/mother's day gift from Mom.. since i will be working on the 15th.…  https://www.instagram.com/p/BUAhrsqll63/ ,,['https://www.instagram.com/p/BUAhrsqll63/'],[],0,0,0,,[],https://twitter.com/pipenny/status/863151423885897728,,,0
863151281225043968,863151281225043968,1494626276000,2017-05-12,23:57:56,CEST,28165448,heylilhey,Lil.,"Montréal, Québec",Just another Friday at the office  #food #delicious #sumac #games #work #alwayseating @ Streets…  https://www.instagram.com/p/BUAhnlFluMl/ ,,['https://www.instagram.com/p/BUAhnlFluMl/'],[],0,0,1,Montreal,"['#food', '#delicious', '#sumac', '#games', '#work', '#alwayseating']",https://twitter.com/heylilhey/status/863151281225043968,,,0
863150979625218048,863150979625218048,1494626204000,2017-05-12,23:56:44,CEST,40003673,potchopotchoy,PATRICK,"Montréal, Québec",... Love in different colors. 😍 #MTL #Quebec #Montreal #Canada #colors #gayvillage @ Gay…  https://www.instagram.com/p/BUAhe1QFmOC/ ,,['https://www.instagram.com/p/BUAhe1QFmOC/'],[],0,0,0,"Montréal, Québec","['#mtl', '#quebec', '#montreal', '#canada', '#colors', '#gayvillage']",https://twitter.com/potchopotchoy/status/863150979625218048,,,0
863150443563798532,863150443563798532,1494626076000,2017-05-12,23:54:36,CEST,355689280,_codycollier_,Cody Collier,"Montréal, Québec",💜♓️💜 @ Place des Arts  https://www.instagram.com/p/BUAhPGcFXao/ ,,['https://www.instagram.com/p/BUAhPGcFXao/'],[],0,0,0,"Los Angeles, California",[],https://twitter.com/_CodyCollier_/status/863150443563798532,,,0
863150396210114560,863150396210114560,1494626065000,2017-05-12,23:54:25,CEST,71791964,magabout,Magalie,"Montréal, Québec",Une soirée au spa👙 🥂.... @ Bota Bota  https://www.instagram.com/p/BUAhNt9j67a/ ,,['https://www.instagram.com/p/BUAhNt9j67a/'],[],0,0,0,Montréal,[],https://twitter.com/Magabout/status/863150396210114560,,,0
863150322679783425,863150322679783425,1494626048000,2017-05-12,23:54:08,CEST,180756013,boiteauxtresors,Friperie pour enfant,"Montréal, Québec",Please vote for me !!! https://apps.agorapulse.com/mobile/contest/65891/entry/797632 … #vote…  https://www.instagram.com/p/BUAhL0jDhDB/ ,,"['https://apps.agorapulse.com/mobile/contest/65891/entry/797632', 'https://www.instagram.com/p/BUAhL0jDhDB/']",[],0,0,0,"1610,Barré,VSL,QC,H4L 4M8",['#vote'],https://twitter.com/boiteauxtresors/status/863150322679783425,,,0
863150020253564928,863150020253564928,1494625976000,2017-05-12,23:52:56,CEST,175096529,codycaissie,Studio Cody Caissie,"Montréal, Québec",The team :) happy Friday! #studiocodycaissie @ Studio Cody Caissie  https://www.instagram.com/p/BUAhC5WhiNJ/ ,,['https://www.instagram.com/p/BUAhC5WhiNJ/'],[],0,0,1,Montreal Quebec,['#studiocodycaissie'],https://twitter.com/codycaissie/status/863150020253564928,,,0
863149629977673728,863149629977673728,1494625882000,2017-05-12,23:51:22,CEST,29117898,lesangesmtl,Les Anges Gardiennes,"Laval, Québec",Happy to be attending the 1st year  Salon in LAVAL QC.   Who's coming to see us?  Prizes to give…  https://www.instagram.com/p/BUAg3pJBlHs/ ,,['https://www.instagram.com/p/BUAg3pJBlHs/'],[],0,0,1,"Montreal, Quebec",[],https://twitter.com/lesangesmtl/status/863149629977673728,,,0
863149416068272128,863149416068272128,1494625831000,2017-05-12,23:50:31,CEST,212838816,eve_christian,Ève Christian,"Montréal, Québec",Le Soleil envahit le parc Jean-Duceppe pour notre émission! (Voyez-vous le cerf-volant?) @…  https://www.instagram.com/p/BUAgxXgBee0/ ,,['https://www.instagram.com/p/BUAgxXgBee0/'],[],0,0,1,Au Québec,[],https://twitter.com/Eve_Christian/status/863149416068272128,,,0
863147661163089920,863147661163089920,1494625413000,2017-05-12,23:43:33,CEST,142078721,black_out_sound,BLACKOUTSOUND_REGGAE,"Montréal, Québec",🆘🇯🇲 📮📮 MASICKA INNA DANCEHALL SESSION '!🇬🇳🇬🇳🌿🌿 • ••> He is in studio with us THIS WEEK W/…  https://www.instagram.com/p/BUAf-Wchw87/ ,,['https://www.instagram.com/p/BUAf-Wchw87/'],[],0,0,0,Montreal,[],https://twitter.com/BLACK_OUT_SOUND/status/863147661163089920,,,0
863147398201257984,863147398201257984,1494625350000,2017-05-12,23:42:30,CEST,2964362884,balticclub,Baltic Club,"Montréal, Québec","Après des semaines d'efforts, nous avons le bonheur de vous annoncer que notre atelier-boutique…  https://www.instagram.com/p/BUAf2oXg195/ ",,['https://www.instagram.com/p/BUAf2oXg195/'],[],0,0,0,Montreal,[],https://twitter.com/BalticClub/status/863147398201257984,,,0
863147077701947392,863147077701947392,1494625274000,2017-05-12,23:41:14,CEST,34158024,tty007,Ghislain Leduc,"Longueuil, Québec",Football practice on a Friday ? #OfCourse #football #coachLeduc #TheBeast 76/365 @ Ghislain…  https://www.instagram.com/p/BUAftY9gu54/ ,,['https://www.instagram.com/p/BUAftY9gu54/'],[],0,0,0,"Longueuil, Québec, Canada","['#ofcourse', '#football', '#coachleduc', '#thebeast']",https://twitter.com/tty007/status/863147077701947392,,,0
863147056994672640,863147056994672640,1494625269000,2017-05-12,23:41:09,CEST,21051483,ljaguinaga,LJ Aguinaga,"Montréal, Québec","🚨VISITE LIBRE! OPEN HOUSE! 🚨| 2400-2404 Rue Augustin-Cantin, Le Sud-Ouest (Montréal) | Asking…  https://www.instagram.com/p/BUAfsyyBap8/ ",,['https://www.instagram.com/p/BUAfsyyBap8/'],[],0,0,0,"Montreal, Quebec",[],https://twitter.com/ljaguinaga/status/863147056994672640,,,0
863147003739594752,863147003739594752,1494625256000,2017-05-12,23:40:56,CEST,2364147438,oceandolphinca,irisviel,"Montréal, Québec","I'm at  http://Itali.co  - @birreriaitalico in Montreal, Québec  https://www.swarmapp.com/c/cRe7NNnEdro ",['birreriaitalico'],"['http://Itali.co', 'https://www.swarmapp.com/c/cRe7NNnEdro']",[],0,0,0,montreal,[],https://twitter.com/oceandolphinca/status/863147003739594752,,,0
863146868565585923,863146868565585923,1494625224000,2017-05-12,23:40:24,CEST,76672979,lalalagalie,Magalie Paquet,"Montréal, Québec",En haut de la @placevillemarie @timeraiser avec @litineraire Yeeha! . #timeraiser150…  https://www.instagram.com/p/BUAccd2gG97/ ,"['placevillemarie', 'timeraiser', 'litineraire']",['https://www.instagram.com/p/BUAccd2gG97/'],[],0,0,2,"Montréal, Québec",['#timeraiser150'],https://twitter.com/LalalaGalie/status/863146868565585923,,,0
863146568538521600,863146568538521600,1494625153000,2017-05-12,23:39:13,CEST,740291244618862593,ebmasso,Emelie B,"Laval, Québec","Fitsquad, gym mobile #fitsquad #workout #outdoors @ Salles De Reception Paragon  https://www.instagram.com/p/BUAfd_sDAPU/ ",,['https://www.instagram.com/p/BUAfd_sDAPU/'],[],0,0,0,"Montréal, Québec","['#fitsquad', '#workout', '#outdoors']",https://twitter.com/EBMasso/status/863146568538521600,,,0
863146324920872961,863146324920872961,1494625095000,2017-05-12,23:38:15,CEST,25463599,dj_deleon,DJ DELEON,"Montréal, Québec","One week left influencemtl ! Buy tickets now using PROMO CODE : Deleonisin @ Montreal, Quebec  https://www.instagram.com/p/BUAfXfEATlm/ ",,['https://www.instagram.com/p/BUAfXfEATlm/'],[],0,0,0,"ÜT: 45.516782,-73.562768",[],https://twitter.com/DJ_DELEON/status/863146324920872961,,,0
863146152514007041,863146152514007041,1494625053000,2017-05-12,23:37:33,CEST,164800732,kimchalu,Luc Desjardins,"Montréal, Québec",Présentement au lancement #LeBio @uqam. bravo à ma fille @biokimberley @ Coeur des sciences UQAM  https://www.instagram.com/p/BUAfSggApu5/ ,"['uqam', 'biokimberley']",['https://www.instagram.com/p/BUAfSggApu5/'],[],0,0,1,"Montréal, Québec.",['#lebio'],https://twitter.com/kimchalu/status/863146152514007041,,,0
863145814817943553,863145814817943553,1494624973000,2017-05-12,23:36:13,CEST,41386905,camleblanc,Camille LeBlanc ♔,"Montréal, Québec","Enfin le printemps!  #mtlmoments #verdunluv #balconville #printemps #bieredevendredi @ Ici, A…  https://www.instagram.com/p/BUAfIrRj_eP/ ",,['https://www.instagram.com/p/BUAfIrRj_eP/'],[],0,0,0,"Montreal, QC","['#mtlmoments', '#verdunluv', '#balconville', '#printemps', '#bieredevendredi']",https://twitter.com/CamLeBlanc/status/863145814817943553,,,0
863144534594682880,863144534594682880,1494624668000,2017-05-12,23:31:08,CEST,899842825,lechedesserts,Léché Desserts,"Montréal, Québec",Mother's Day is this weekend and we have  a few treats your mom will love!! Cream cheese…  https://www.instagram.com/p/BUAejP9j7Mu/ ,,['https://www.instagram.com/p/BUAejP9j7Mu/'],[],0,0,1,"Montréal, Québec",[],https://twitter.com/Lechedesserts/status/863144534594682880,,,0
863144019832041472,863144019832041472,1494624545000,2017-05-12,23:29:05,CEST,75954470,djstevecandela,Steve Candela,"Montréal, Québec",Follow us! Suivez nous! Siguanos! @ Banque Scotia Dfc  https://www.instagram.com/p/BUAeUH-lbM1/ ,,['https://www.instagram.com/p/BUAeUH-lbM1/'],[],0,0,1,"Montreal, Canada",[],https://twitter.com/djstevecandela/status/863144019832041472,,,0
863143742689161216,863143742689161216,1494624479000,2017-05-12,23:27:59,CEST,625799660,les_affames,Les Affamés Traiteur,"Montréal, Québec",Nouveau menu de soir !!  https://www.facebook.com/LesAffamesCafeTraiteur/posts/1358986770852166 … @…  https://www.instagram.com/p/BUAeMXGgLlY/ ,,"['https://www.facebook.com/LesAffamesCafeTraiteur/posts/1358986770852166', 'https://www.instagram.com/p/BUAeMXGgLlY/']",[],0,0,0,"Montreal, QC",[],https://twitter.com/Les_Affames/status/863143742689161216,,,0
863143641627459584,863143641627459584,1494624455000,2017-05-12,23:27:35,CEST,75954470,djstevecandela,Steve Candela,"Montréal, Québec","Chuis a boutte! @ Montreal, Quebec  https://www.instagram.com/p/BUAeJNxFbB5/ ",,['https://www.instagram.com/p/BUAeJNxFbB5/'],[],0,0,0,"Montreal, Canada",[],https://twitter.com/djstevecandela/status/863143641627459584,,,0
863143270276378625,863143270276378625,1494624366000,2017-05-12,23:26:06,CEST,215494040,martin_juneau,martin juneau,"Montréal, Québec",La porte est débarrée... Tu peux passer. #PastagaSnackBar @ Marché des Éclusiers  https://www.instagram.com/p/BUAd-BHFqaX/ ,,['https://www.instagram.com/p/BUAd-BHFqaX/'],[],0,0,0,Montréal,['#pastagasnackbar'],https://twitter.com/martin_juneau/status/863143270276378625,,,0
863142769174466560,863142769174466560,1494624247000,2017-05-12,23:24:07,CEST,928839300,istx25,@istx25,"Montréal, Québec","I'm at The Keg Steakhouse & Bar in Montréal, QC  https://www.swarmapp.com/c/4prgmcJau1z ",,['https://www.swarmapp.com/c/4prgmcJau1z'],[],0,0,0,,[],https://twitter.com/istx25/status/863142769174466560,,,0
863142127101988864,863142127101988864,1494624094000,2017-05-12,23:21:34,CEST,44301455,moe2033,Mahmoud Haltam,"Montréal, Québec",#sun has finally showed up in montreal  #instapicture #instalike #instadaily #instago #instapic…  https://www.instagram.com/p/BUAddYqgQQY/ ,,['https://www.instagram.com/p/BUAddYqgQQY/'],[],0,0,0,"Montréal, Québec","['#sun', '#instapicture', '#instalike', '#instadaily', '#instago', '#instapic']",https://twitter.com/Moe2033/status/863142127101988864,,,0
863141378611654660,863141378611654660,1494623915000,2017-05-12,23:18:35,CEST,522653149,jasmycap,Jasmina Capellan,"Montréal, Québec","What de think, we create. What we feel, we attract.   What we imagine, we become. #quotedaily…  https://www.instagram.com/p/BUAdHc8gNsU/ ",,['https://www.instagram.com/p/BUAdHc8gNsU/'],[],0,0,0,Montreal,['#quotedaily'],https://twitter.com/Jasmycap/status/863141378611654660,,,0
